Date,Product,Category,Quantity,Unit_Price,Region,Sales
2026-01-05,Laptop,Electronics,2,55000,West,110000
2026-01-08,Mouse,Accessories,15,700,North,10500
2026-01-12,Keyboard,Accessories,10,1200,West,12000
2026-01-15,Monitor,Electronics,5,12000,South,60000
2026-01-20,Headphones,Accessories,12,1800,East,21600
2026-02-03,Laptop,Electronics,3,55000,North,165000
2026-02-07,Mouse,Accessories,20,700,South,14000
2026-02-11,Keyboard,Accessories,8,1200,East,9600
2026-02-16,Monitor,Electronics,4,12000,West,48000
2026-02-22,Headphones,Accessories,18,1800,North,32400
2026-03-02,Laptop,Electronics,1,55000,South,55000
2026-03-06,Mouse,Accessories,25,700,East,17500
2026-03-10,Keyboard,Accessories,14,1200,North,16800
2026-03-15,Monitor,Electronics,6,12000,South,72000
2026-03-21,Headphones,Accessories,10,1800,West,18000
2026-04-04,Laptop,Electronics,2,55000,East,110000
2026-04-09,Mouse,Accessories,17,700,West,11900
2026-04-13,Keyboard,Accessories,11,1200,South,13200
2026-04-18,Monitor,Electronics,3,12000,North,36000
2026-04-24,Headphones,Accessories,20,1800,East,36000
2026-05-03,Laptop,Electronics,4,55000,West,220000
2026-05-08,Mouse,Accessories,22,700,North,15400
2026-05-12,Keyboard,Accessories,9,1200,East,10800
2026-05-17,Monitor,Electronics,5,12000,South,60000
2026-05-23,Headphones,Accessories,16,1800,West,28800
2026-06-02,Laptop,Electronics,2,55000,North,110000
2026-06-07,Mouse,Accessories,19,700,South,13300
2026-06-11,Keyboard,Accessories,13,1200,West,15600
2026-06-16,Monitor,Electronics,4,12000,East,48000
2026-06-22,Headphones,Accessories,14,1800,North,25200
