Hours Studied,Attendance,Previous Score,Final Score
5.1,59.3,50.7,29.54
11.5,77.1,49.8,37.48
9.1,93.6,89.4,61.49
7.6,86.6,50.0,28.53
2.7,90.3,51.3,36.07
2.7,82.9,80.6,46.53
1.6,84.6,62.0,33.21
10.5,92.5,81.6,56.03
7.6,62.5,38.9,14.76
8.8,74.5,64.3,41.54
1.2,61.1,37.0,10.59
11.7,99.4,38.8,29.31
10.2,97.2,89.4,54.56
3.3,52.0,43.4,22.29
3.0,85.3,66.9,36.3
3.0,96.3,59.7,43.74
4.3,59.0,55.8,25.17
6.8,78.4,89.0,45.84
5.8,95.8,36.3,22.67
4.2,51.7,74.8,40.79
7.7,84.9,92.8,56.57
2.5,64.9,68.6,32.01
4.2,96.2,91.2,56.63
5.0,98.6,38.1,30.11
6.0,97.2,60.1,45.22
9.6,73.7,50.6,38.69
3.2,93.1,78.8,46.06
6.7,92.2,93.9,53.42
7.5,66.0,50.4,27.32
1.5,91.4,74.3,44.11
7.7,51.9,46.9,19.84
2.9,79.8,68.9,34.63
1.7,61.5,62.8,30.82
11.4,56.0,93.3,53.38
11.6,53.8,71.5,41.35
9.9,84.8,56.0,35.88
4.4,67.0,41.8,20.78
2.1,86.2,44.1,22.0
8.5,53.3,48.5,29.21
5.8,65.8,50.1,31.37
2.3,77.0,86.0,39.24
6.4,89.5,68.7,40.2
1.4,65.9,66.4,26.27
11.0,81.3,41.9,28.67
3.8,94.3,86.6,52.29
8.3,80.8,78.4,42.99
4.4,61.6,39.1,15.18
6.7,51.2,77.5,35.44
7.0,93.5,67.6,45.68
3.0,51.1,39.9,15.7
11.7,93.7,62.5,43.44
9.5,76.4,64.1,41.61
11.3,97.0,44.9,34.93
10.8,89.9,91.7,59.54
7.6,99.9,86.0,63.81
11.1,67.5,75.1,51.53
2.0,88.4,62.7,31.19
3.2,70.1,59.7,34.56
1.5,74.0,74.1,41.85
4.6,81.4,67.7,35.13
5.3,93.7,38.7,30.76
4.0,99.2,65.8,48.74
10.1,88.4,83.4,50.57
4.9,70.9,62.6,30.89
4.1,71.1,38.1,24.49
7.0,86.9,82.2,52.32
2.6,61.9,47.1,23.93
9.8,55.5,50.5,29.83
1.8,67.7,44.9,22.8
11.9,64.4,54.8,29.64
9.5,64.8,80.4,51.16
3.2,61.7,66.2,37.39
1.1,52.1,47.3,17.11
10.0,50.9,87.7,47.79
8.8,99.4,87.8,52.94
9.0,71.4,87.2,53.97
9.5,69.2,49.3,33.25
1.8,84.0,62.1,34.53
4.9,60.9,94.1,53.89
2.3,97.5,81.3,47.82
10.5,89.3,36.6,32.16
7.9,54.5,38.9,16.05
4.6,70.9,62.8,34.31
1.7,94.0,89.6,51.61
4.4,97.2,67.3,44.18
4.6,73.4,64.9,34.71
9.0,80.7,41.3,28.46
8.0,58.4,74.4,44.02
10.8,99.6,84.3,57.24
6.2,61.6,57.8,24.34
2.3,97.1,81.5,56.17
8.8,82.5,92.9,63.17
9.4,80.4,47.2,27.35
7.2,75.6,66.4,42.66
9.5,61.5,52.2,28.62
6.4,58.8,82.6,44.94
6.8,61.0,69.7,38.88
5.7,59.3,73.1,37.22
1.3,89.0,82.9,43.88
2.2,67.5,58.8,26.43
1.3,52.9,89.9,38.18
8.0,98.5,67.0,43.35
4.5,94.2,44.5,29.81
6.6,96.4,76.8,47.42
11.0,99.7,82.6,60.98
3.7,58.7,54.0,31.65
5.5,69.8,86.4,45.6
9.3,87.9,89.4,58.47
3.5,84.8,51.6,32.73
1.8,57.7,94.0,47.63
4.2,90.8,43.4,28.65
2.8,61.2,47.1,24.7
11.2,61.2,46.1,30.66
9.9,76.8,88.6,49.89
8.0,79.6,74.3,49.44
10.6,79.0,44.1,35.09
9.8,54.6,61.4,31.19
3.1,93.9,71.9,43.96
10.8,63.3,40.0,28.28
6.9,56.5,87.9,45.84
9.9,94.4,83.2,60.56
10.9,97.8,65.3,57.63
4.5,93.1,93.0,53.33
2.2,90.5,60.1,30.14
3.5,82.8,94.0,54.77
5.7,77.5,75.1,46.7
10.0,54.3,73.1,39.86
10.5,70.4,45.0,35.61
1.1,68.6,87.9,39.13
6.6,63.0,60.6,35.79
5.6,86.2,44.7,26.75
3.4,74.8,35.8,26.33
2.3,54.1,68.6,39.3
4.7,61.0,66.6,31.04
11.4,84.2,78.2,50.12
4.6,53.8,88.4,47.65
6.7,92.6,39.8,27.52
8.7,74.8,78.9,47.74
5.0,74.0,46.2,26.51
11.7,79.6,86.5,48.33
11.6,91.2,84.1,57.44
3.8,67.4,67.4,32.58
6.5,83.9,77.6,45.53
4.3,78.3,53.9,36.86
4.1,63.4,63.3,27.33
1.4,93.9,84.3,52.35
7.7,89.9,62.6,40.72
6.5,82.9,56.5,34.53
1.6,92.5,64.7,41.31
4.1,93.4,84.7,52.99
11.0,85.4,55.1,41.84
3.6,91.9,45.4,33.06
2.6,84.9,77.7,42.97
6.4,84.0,84.6,48.84
11.8,80.9,41.0,27.05
3.7,87.6,49.4,27.1
8.4,57.9,43.5,35.76
9.4,94.0,55.9,45.68
3.6,93.6,62.0,33.34
9.0,51.5,79.9,37.63
5.0,91.3,74.1,48.01
8.0,56.4,72.3,41.25
8.0,66.8,56.1,34.95
6.9,87.2,85.5,52.02
2.0,58.0,63.3,28.61
10.2,90.9,93.7,62.75
4.5,91.6,73.0,45.44
3.1,75.4,42.6,14.19
1.4,50.3,75.6,32.5
7.5,64.4,54.5,27.42
8.5,80.8,76.2,48.46
1.2,99.1,39.2,37.36
6.6,81.6,45.5,30.83
3.5,63.0,86.3,43.11
8.1,81.7,48.6,36.13
2.9,77.0,85.2,48.65
8.6,89.0,51.8,38.16
5.3,55.3,73.6,39.5
11.3,88.1,76.6,60.55
2.5,77.1,65.8,31.19
4.8,98.1,53.3,38.05
2.2,67.1,47.8,19.34
11.2,81.6,37.0,31.05
10.7,96.6,53.2,37.37
3.8,55.1,74.2,34.34
8.3,96.9,91.3,58.73
10.0,84.4,87.3,60.02
7.1,53.4,81.0,45.96
6.8,65.0,82.3,40.65
3.7,85.4,74.9,44.09
2.0,53.4,50.6,18.14
10.9,79.1,89.4,51.72
10.9,67.3,75.2,45.13
8.0,81.0,68.6,41.95
4.7,52.3,41.7,27.95
4.8,93.6,61.8,41.44
9.0,98.7,62.6,39.69
10.9,98.4,86.9,57.95
10.8,87.5,67.8,50.97
9.6,56.5,57.8,40.91
8.1,87.9,93.6,52.4
1.9,51.2,41.6,7.87
2.8,51.1,60.4,34.0
10.9,66.2,37.5,26.54
7.7,74.4,79.4,43.73
1.1,88.5,90.1,52.81
2.1,84.2,51.8,18.89
8.3,72.3,86.5,51.13
1.1,63.7,52.5,25.1
2.8,99.9,89.6,58.47
7.0,71.3,80.2,42.18
8.6,72.6,83.3,50.05
8.2,58.2,36.1,16.08
3.5,89.7,92.8,55.64
8.8,84.7,78.6,46.74
3.6,61.0,53.3,24.17
4.6,54.1,84.8,38.32
9.2,84.0,51.9,38.43
8.1,82.7,87.4,57.47
10.3,63.7,41.8,25.25
8.2,97.5,77.2,52.37
7.3,57.6,67.4,30.25
2.0,71.6,40.8,18.94
5.0,97.2,49.5,33.82
3.9,71.0,35.7,29.38
3.7,81.9,63.1,32.06
11.7,69.9,53.1,41.07
5.3,63.7,70.9,41.68
10.8,99.2,52.8,42.68
7.9,70.5,53.0,38.92
9.7,94.7,79.6,55.67
6.5,61.5,37.9,21.63
7.3,60.7,89.2,48.59
6.4,51.6,86.1,48.91
3.1,82.6,75.1,47.13
8.9,68.4,70.6,39.44
4.1,93.2,88.5,48.39
1.3,73.7,46.1,22.14
8.1,98.4,39.7,28.52
2.9,59.3,49.4,22.35
11.3,93.4,82.7,61.95
11.5,88.8,37.1,29.13
11.1,88.5,70.0,48.44
5.1,92.2,94.7,57.96
1.2,88.1,86.3,51.96
11.2,81.3,66.3,35.88
5.7,56.6,38.8,16.19
11.6,51.6,84.9,48.88
11.6,96.0,70.9,56.24
10.4,80.8,41.9,28.64
4.2,89.8,40.6,19.05
5.2,74.1,89.6,52.96
10.4,55.9,75.2,40.15
4.5,56.3,84.8,38.01
2.9,84.3,87.7,47.42
7.1,71.5,69.3,39.64
11.3,60.0,66.0,37.05
8.7,74.6,60.8,29.1
7.3,53.2,54.0,31.16
2.1,79.1,61.1,38.37
7.8,63.4,81.4,48.25
11.9,89.9,71.1,45.74
2.5,65.5,88.6,44.55
6.7,72.8,61.6,36.08
10.7,50.6,71.4,41.95
9.1,53.6,72.9,42.36
8.7,69.6,70.5,39.07
8.7,74.0,77.2,47.12
5.0,80.0,49.2,31.39
4.2,64.6,65.7,39.89
9.9,84.7,41.3,33.62
9.9,93.0,58.1,45.27
10.5,89.0,64.3,45.4
11.0,52.0,74.1,47.3
6.6,74.0,92.0,54.68
6.5,55.2,71.0,33.26
9.8,62.1,79.6,51.74
8.1,99.3,65.4,48.88
8.7,57.1,73.0,38.48
